species,Carnivore,Corallivore,Detritivore,Ectoparasite cleaner,Herbivore,Omnivore,Parasitic,Planktivore
Kaupichthys nuchalis,x,,,,,,,
Robinsia catherinae,x,,,,,,,
Chlorophthalmidae,,,,,,,,
Chlorophthalmus agassizi,x,,,,,,,x
Chlorophthalmus brasiliensis,x,,,,,,,x
Parasudis truculenta,x,,,,,,,
Cichlidae,,,,,,,,
Hemichromis letourneuxi,,,,,,x,,
Herichthys cyanoguttatus,,,,,,x,,
Mayaheros urophthalmus,x,,,,,,,
Nandopsis haitiensis,,,,,,x,,
Nandopsis tetracanthus,x,,,,,,,
Oreochromis aureus,,,,,,x,,x
Oreochromis mossambicus,,,,,,x,,x
Oreochromis niloticus niloticus,,,x,,,x,,x
Oreochromis urolepis,,,x,,x,,,x
Sarotherodon melanotheron,,,,,,x,,x
Tilapia mariae,,,x,,,x,,x
Tilapia rendalli,,,,,,x,,x
Tilapia zillii,,,,,,x,,x
Vieja maculicauda,,,x,,x,,,
Vieja melanura,,,x,,x,,,
Cirrhitidae,,,,,,,,
Amblycirrhitus pinos,x,,,,,,,x
Clupeidae,,,,,,,,
Alosa aestivalis,x,,,,,,,x
Alosa alabamae,x,,,,,,,x
Alosa chrysochloris,x,,,,,,,x
Alosa sapidissima,x,,,,,x,,
Brevoortia gunteri,x,,,,,,,x
Brevoortia patronus,x,,,,,,,x
Brevoortia smithi,,,,,,,,x
Brevoortia tyrannus,x,,,,,,,x
Dorosoma cepedianum,,,,,,,,x
Dorosoma petenense,x,,,,,,,x
Etrumeus sadina,,,,,,,,x
Harengula clupeola,,,,,,,,x
Harengula humeralis,x,,,,,,,x
Harengula jaguana,,,,,,,,x
Jenkinsia lamprotaenia,,,,,,,,x
Jenkinsia majua,,,,,,,,x
Jenkinsia parvula,,,,,,,,x
Jenkinsia stolifera,,,,,,,,x
Lile piquitinga,,,,,,,,x
Opisthonema oglinum,x,,,,,,,x
Rhinosardinia amazonica,,,,,,,,x
Sardinella aurita,,,,,,,,x
Congridae,,,,,,,,
Ariosoma anale,x,,,,,,,
Ariosoma balearicum,x,,,,,,,
Ariosoma selenops,x,,,,,,,
Bathycongrus bullisi,x,,,,,,,
Bathycongrus dubius,x,,,,,,,
Bathycongrus polyporus,x,,,,,,,
Bathycongrus thysanochilus,x,,,,,,,
Bathycongrus vicinalis,x,,,,,,,
Bathyuroconger vicinus,x,,,,,,,
Conger esculentus,x,,,,,,,
Conger oceanicus,x,,,,,,,
Conger triporiceps,x,,,,,,,
Gnathophis bathytopos,x,,,,,,,
Gnathophis bracheatopos,x,,,,,,,
Heteroconger camelopardalis,,,,,,,,x
Heteroconger longissimus,,,,,,,,x
Heteroconger luteolus,,,,,,,,x
Japonoconger caribbeus,x,,,,,,,
Paraconger caudilimbatus,x,,,,,,,
Pseudophichthys splendens,x,,,,,,,
Rhynchoconger flavus,x,,,,,,,
Rhynchoconger gracilior,x,,,,,,,
Rhynchoconger guppyi,x,,,,,,,
Uroconger syringinus,x,,,,,,,
Coryphaenidae,,,,,,,,
Coryphaena equiselis,x,,,,,,,
Coryphaena hippurus,x,,,,,,,
Crurirajidae,,,,,,,,
Cruriraja atlantis,x,,,,,,,
Cruriraja cadenati,x,,,,,,,
Cruriraja poeyi,x,,,,,,,
Cruriraja rugosa,x,,,,,,,
Cynoglossidae,,,,,,,,
Symphurus arawak,x,,,,,,,
Symphurus billykrietei,x,,,,,,,
Symphurus caribbeanus,x,,,,,,,
Symphurus civitatium,x,,,,,,,
Symphurus diomedeanus,x,,,,,,,
Symphurus hernandezi,x,,,,,,,
Symphurus marginatus,x,,,,,,,
Symphurus minor,x,,,,,,,
Symphurus nebulosus,x,,,,,,,
Symphurus oculellus,x,,,,,,,
Symphurus ommaspilus,x,,,,,,,
Symphurus parvus,x,,,,,,,
Symphurus pelicanus,x,,,,,,,
Symphurus piger,x,,,,,,,
Symphurus plagiusa,x,,,,,,,
Symphurus plagusia,x,,,,,,,
Symphurus pusillus,x,,,,,,,
Symphurus rhytisma,x,,,,,,,
Symphurus stigmosus,x,,,,x,,,
Symphurus tessellatus,x,,,,,,,
Symphurus urospilus,x,,,,,,,
Cynolebiidae,,,,,,,,
Rivulus garciai,x,,,,,,,
Rivulus hartii,,,,,,x,,
Rivulus marmoratus,x,,,,,,,
Cyprinodontidae,,,,,,,,
Cubanichthys cubensis,,,x,,,x,,
Cyprinodon artifrons,,,x,,,x,,
Cyprinodon dearborni,,,x,,,x,,
Cyprinodon laciniatus,,,x,,,x,,
Cyprinodon variegatus,,,x,,,x,,
Floridichthys carpio,,,,,,x,,x
Floridichthys polyommus,,,,,,x,,x
Jordanella floridae,,,x,,,x,,x
Jordanella pulchra,,,x,,,x,,x
Dactylopteridae,,,,,,,,
Dactylopterus volitans,x,,,,,,,
Dactyloscopidae,,,,,,,,
Dactylagnus peratikos,x,,,,,,,
Dactyloscopus boehlkei,x,,,,,,,
Dactyloscopus comptus,x,,,,,,,
Dactyloscopus crossotus,x,,,,,,,
Dactyloscopus foraminosus,x,,,,,,,
Dactyloscopus moorei,x,,,,,,,
Dactyloscopus poeyi,x,,,,,,,
Dactyloscopus tridigitatus,x,,,,,,,
Gillellus greyae,x,,,,,,,
Gillellus healae,x,,,,,,,
Gillellus inescatus,x,,,,,,,
Gillellus jacksoni,x,,,,,,,
Gillellus uranidea,x,,,,,,,
Leurochilus acon,x,,,,,,,
Myxodagnus belone,x,,,,,,,
Platygillellus rubrocinctus,x,,,,,,,
Platygillellus smithi,x,,,,,,,
Dalatiidae,,,,,,,,
Dalatias licha,x,,,,,,,
Isistius brasiliensis,x,,,,,,,
Isistius plutodus,x,,,,,,,
Mollisquama species A,x,,,,,,,
Squaliolus laticaudus,x,,,,,,,
Dasyatidae,,,,,,,,
Bathytoshia centroura,x,,,,,,,
Fontitrygon geijskesi,x,,,,,,,
Hypanus americanus,x,,,,,,,
Hypanus guttatus,x,,,,,,,
Hypanus sabinus,x,,,,,,,
Hypanus say,x,,,,,,,
Pteroplatytrygon violacea,x,,,,,,,
Dinematichthyidae,,,,,,,,
Alionematichthys minyomma,x,,,,,,,
Gunterichthys longipenis,x,,,,,,,
Ogilbia boehlkei,x,,,,,,,
Ogilbia cayorum,x,,,,,,,
Ogilbia jeffwilliamsi,x,,,,,,,
Ogilbia mccoskeri,x,,,,,,,
Ogilbia sabaji,x,,,,,,,
Ogilbia species A,x,,,,,,,
Ogilbia species B,x,,,,,,,
Ogilbia suarezae,x,,,,,,,
Ogilbia tyleri,x,,,,,,,
Ogilbichthys ferocis,x,,,,,,,
Ogilbichthys haitiensis,x,,,,,,,
Ogilbichthys kakuki,x,,,,,,,
Ogilbichthys longimanus,x,,,,,,,
Ogilbichthys microphthalmus,x,,,,,,,
Ogilbichthys puertoricoensis,x,,,,,,,
Ogilbichthys tobagoensis,x,,,,,,,
Pseudogilbia sanblasensis,x,,,,,,,
Diodontidae,,,,,,,,
Chilomycterus antennatus,x,,,,,,,
Chilomycterus antillarum,x,,,,,,,
Chilomycterus reticulatus,x,,,,,,,
Chilomycterus schoepfii,x,,,,,,,
Chilomycterus spinosus spinosus,x,,,,,,,
Diodon eydouxii,x,,,,,,,x
Diodon holocanthus,x,,,,,,,
Diodon hystrix,x,,,,,,,
Draconettidae,,,,,,,,
Centrodraco acanthopoma,x,,,,,,,
Echeneidae,,,,,,,,
Echeneis naucrates,x,,,x,,,,x
Echeneis neucratoides,x,,,x,,,,x
Phtheirichthys lineatus,x,,,x,,,,x
Remora albescens,x,,,x,,,,
Remora australis,x,,,x,,,,x
Remora brachyptera,x,,,x,,,,x
Remora osteochir,x,,,x,,,,x
Remora remora,x,,,x,,,,x
Echinorhinidae,,,,,,,,
Echinorhinus brucus,x,,,,,,,
Eleotridae,,,,,,,,
Butis koilomatodon,x,,,,,,,
Dormitator maculatus,,,x,,,x,,x
Eleotris amblyopsis,x,,,,,,,
Eleotris perniger,x,,,,,,,
Eleotris picta,x,,,,,,,
Eleotris pisonis,x,,,,,,,
Erotelis smaragdus,,,x,,,,,
Gobiomorus dormitor,x,,,,,,,
Guavina guavina,x,,,,,,,
Leptophilypnus fluviatilis,,,,,,,,x
Elopidae,,,,,,,,
Elops saurus,x,,,,,,,
Elops smithi,x,,,,,,,
Emmelichthyidae,,,,,,,,
Emmelichthys ruber,,,,,,,,x
Erythrocles monodi,,,,,,,,x
Engraulidae,,,,,,,,
Anchoa cayorum,,,,,,,,x
Anchoa choerostoma,,,,,,,,x
Anchoa colonensis,,,,,,,,x
Anchoa cubana,,,,,,,,x
Anchoa filifera,,,,,,,,x
Anchoa hepsetus,,,,,,,,x
Anchoa januaria,,,,,,,,x
Anchoa lamprotaenia,,,,,,,,x
Anchoa lyolepis,,,,,,,,x
Anchoa mitchilli,x,,,,,,,x
Anchoa parva,,,,,,,,x
Anchoa spinifer,x,,,,,,,x
Anchoa trinitatis,,,,,,,,x
Anchovia clupeoides,,,,,,,,x
Anchovia surinamensis,,,,,,,,x
Anchoviella blackburni,,,,,,,,x
Anchoviella brevirostris,,,,,,,,x
Anchoviella elongata,,,,,,,,x
Anchoviella guianensis,,,,,,,,x
Anchoviella lepidentostole,,,,,,,,x
Anchoviella perfasciata,,,,,,,,x
Cetengraulis edentulus,,,,,,,,x
Engraulis eurystole,,,,,,,,x
Lycengraulis batesii,x,,,,,,,x
Lycengraulis grossidens,x,,,,,,,x
Lycengraulis limnichthys,x,,,,,,,x
