"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"2596","Annamia normani","Annamia","normani",12693,126,"demersal",NA,7.8,"SL",26830
"2597","Annamia thuathienensis","Annamia","thuathienensis",84796,126,"demersal",NA,NA,NA,65732
"2598","Balitora annamitica","Balitora","annamitica",12693,126,"demersal",NA,12,"TL",26821
"2599","Balitora brucei","Balitora","brucei",4832,126,"demersal",NA,10.5,"SL",24498
"2600","Balitora burmanica","Balitora","burmanica",4832,126,"demersal",NA,10,"TL",24508
"2601","Balitora eddsi","Balitora","eddsi",84034,126,"demersal",NA,4.57,"SL",65462
"2602","Balitora elongata","Balitora","elongata",45625,126,"benthopelagic",NA,6.2,"SL",57994
"2603","Balitora haithanhi","Balitora","haithanhi",84796,126,"demersal",NA,NA,NA,65741
"2604","Balitora jalpalli","Balitora","jalpalli",93254,126,"demersal",NA,6.17,"SL",66874
"2605","Balitora kwangsiensis","Balitora","kwangsiensis",45625,126,"demersal",NA,12,"TL",55001
"2606","Balitora lancangjiangensis","Balitora","lancangjiangensis",27732,126,"demersal",NA,7.1,"SL",50375
"2607","Balitora laticauda","Balitora","laticauda",91759,126,"demersal",NA,8.44,"SL",66646
"2608","Balitora longibarbata","Balitora","longibarbata",37823,126,"benthopelagic",NA,7.8,"SL",58517
"2609","Balitora ludongensis","Balitora","ludongensis",87910,126,"demersal",NA,6.32,"SL",66291
"2610","Balitora meridionalis","Balitora","meridionalis",12693,126,"demersal",NA,8.15,"SL",26822
"2611","Balitora mysorensis","Balitora","mysorensis",4832,126,"demersal",NA,5,"SL",24503
"2612","Balitora nantingensis","Balitora","nantingensis",56327,126,"demersal",NA,7.05,"SL",62581
"2613","Balitora nigrocorpa","Balitora","nigrocorpa",84796,126,"demersal",NA,NA,NA,65708
"2614","Balitora nujiangensis","Balitora","nujiangensis",45625,126,"demersal",NA,NA,NA,58557
"2615","Balitora tchangi","Balitora","tchangi",37823,126,"benthopelagic",NA,4.6,"SL",58004
"2616","Balitora vanlani","Balitora","vanlani",84796,126,"demersal",NA,NA,NA,65738
"2617","Balitora vanlongi","Balitora","vanlongi",84796,126,"demersal",NA,NA,NA,65739
"2618","Beaufortia cyclica","Beaufortia","cyclica",45625,126,"demersal",NA,4,"SL",60400
"2619","Beaufortia fasciolata","Beaufortia","fasciolata",84796,126,"demersal",NA,NA,NA,65683
"2620","Beaufortia huangguoshuensis","Beaufortia","huangguoshuensis",44394,126,"benthopelagic",NA,5.2,"SL",59915
"2621","Beaufortia intermedia","Beaufortia","intermedia",31517,126,"demersal",NA,NA,NA,60485
"2622","Beaufortia kweichowensis","Beaufortia","kweichowensis",33406,126,"demersal",NA,8,"TL",55034
"2623","Beaufortia leveretti","Beaufortia","leveretti",33406,126,"demersal",NA,12,"TL",55033
"2624","Beaufortia liui","Beaufortia","liui",45625,126,"demersal",NA,5.6,"SL",60420
"2625","Beaufortia multiocellata","Beaufortia","multiocellata",84796,126,"demersal",NA,NA,NA,65703
"2626","Beaufortia niulanensis","Beaufortia","niulanensis",83459,126,"demersal",NA,3.97,"SL",65296
"2627","Beaufortia pingi","Beaufortia","pingi",45625,126,"demersal",NA,5,"SL",60427
"2628","Beaufortia polylepis","Beaufortia","polylepis",45625,126,"demersal",NA,3.9,"SL",60468
"2629","Beaufortia szechuanensis","Beaufortia","szechuanensis",33508,126,"demersal",NA,7.3,"SL",55419
"2630","Beaufortia triocellata","Beaufortia","triocellata",84796,126,"demersal",NA,NA,NA,65736
"2631","Beaufortia zebroidus","Beaufortia","zebroidus",45625,126,"demersal",NA,2.7,"SL",60428
"2632","Bhavania arunachalensis","Bhavania","arunachalensis",75581,126,"demersal",NA,NA,NA,64498
"2633","Bhavania australis","Bhavania","australis",4832,126,"demersal",NA,9,"SL",24510
"2634","Cryptotora thamicola","Cryptotora","thamicola",37846,126,"demersal",NA,2.84,"SL",26877
"2635","Dienbienia namnuaensis","Dienbienia","namnuaensis",46206,126,"demersal",NA,NA,NA,60832
"2636","Erromyzon compactus","Erromyzon","compactus",54043,126,"demersal",NA,3.08,"SL",62225
"2637","Erromyzon kalotaenia","Erromyzon","kalotaenia",93072,126,"demersal",NA,4.79,"SL",67471
"2638","Erromyzon sinensis","Erromyzon","sinensis",54043,126,"demersal",NA,5.24,"SL",60402
"2639","Erromyzon yangi","Erromyzon","yangi",58449,126,"demersal",NA,4.28,"SL",63435
"2640","Formosania chenyiyui","Formosania","chenyiyui",56696,126,"demersal",NA,7.7,"SL",60457
"2641","Formosania davidi","Formosania","davidi",56696,126,"demersal",NA,7.6,"SL",60803
"2642","Formosania fascicauda","Formosania","fascicauda",56696,126,"demersal",NA,9,"TL",54720
"2643","Formosania fasciolata","Formosania","fasciolata",78433,126,"benthopelagic",NA,11.1,"TL",64499
"2644","Formosania galericula","Formosania","galericula",86816,126,"demersal",NA,5.75,"TL",66049
"2645","Formosania lacustre","Formosania","lacustre",56696,126,"demersal",10,12,"TL",17232
"2646","Formosania paucisquama","Formosania","paucisquama",56696,126,"demersal",NA,6,"SL",55021
"2647","Formosania stigmata","Formosania","stigmata",33406,126,"demersal",NA,10,"TL",55022
"2648","Formosania tinkhami","Formosania","tinkhami",56696,126,"demersal",NA,10,"TL",55023
"2649","Gastromyzon aequabilis","Gastromyzon","aequabilis",57871,126,"demersal",NA,3.52,"SL",63166
"2650","Gastromyzon aeroides","Gastromyzon","aeroides",56228,126,"demersal",NA,4.59,"SL",62560
"2651","Gastromyzon auronigrus","Gastromyzon","auronigrus",57871,126,"demersal",NA,5.53,"SL",63175
"2652","Gastromyzon bario","Gastromyzon","bario",57871,126,"demersal",NA,9.05,"SL",63152
"2653","Gastromyzon borneensis","Gastromyzon","borneensis",7050,126,"benthopelagic",NA,10,"SL",22701
"2654","Gastromyzon contractus","Gastromyzon","contractus",7050,126,"benthopelagic",NA,3.7,"SL",22704
"2655","Gastromyzon cornusaccus","Gastromyzon","cornusaccus",57871,126,"demersal",NA,4.9,"SL",63147
"2656","Gastromyzon cranbrooki","Gastromyzon","cranbrooki",56228,126,"demersal",1,7.55,"SL",62559
"2657","Gastromyzon crenastus","Gastromyzon","crenastus",57901,126,"demersal",NA,2.84,"SL",63181
"2658","Gastromyzon ctenocephalus","Gastromyzon","ctenocephalus",7050,126,"demersal",NA,4.5,"SL",22841
"2659","Gastromyzon danumensis","Gastromyzon","danumensis",7050,126,"benthopelagic",NA,4.5,"SL",22843
"2660","Gastromyzon embalohensis","Gastromyzon","embalohensis",56749,126,"demersal",NA,NA,NA,60833
"2661","Gastromyzon extrorsus","Gastromyzon","extrorsus",57871,126,"demersal",NA,7.67,"SL",63149
"2662","Gastromyzon farragus","Gastromyzon","farragus",57901,126,"demersal",NA,3.89,"SL",63182
"2663","Gastromyzon fasciatus","Gastromyzon","fasciatus",2091,126,"benthopelagic",NA,7,"SL",22844
"2664","Gastromyzon ingeri","Gastromyzon","ingeri",57871,126,"demersal",NA,5.42,"SL",63167
"2665","Gastromyzon introrsus","Gastromyzon","introrsus",57871,126,"demersal",NA,9.44,"SL",63151
"2666","Gastromyzon katibasensis","Gastromyzon","katibasensis",57871,126,"demersal",NA,NA,NA,63183
"2667","Gastromyzon lepidogaster","Gastromyzon","lepidogaster",2091,126,"benthopelagic",NA,10.15,"SL",22845
"2668","Gastromyzon megalepis","Gastromyzon","megalepis",7050,126,"benthopelagic",NA,6,"SL",22847
"2669","Gastromyzon monticola","Gastromyzon","monticola",7050,126,"benthopelagic",NA,7,"SL",22850
"2670","Gastromyzon ocellatus","Gastromyzon","ocellatus",55025,126,"demersal",NA,4.53,"SL",62206
"2671","Gastromyzon ornaticauda","Gastromyzon","ornaticauda",34011,126,"benthopelagic",NA,7,"SL",56317
"2672","Gastromyzon pariclavis","Gastromyzon","pariclavis",34011,126,"benthopelagic",NA,6,"SL",56316
"2673","Gastromyzon praestans","Gastromyzon","praestans",57871,126,"demersal",NA,5.47,"SL",63155
"2674","Gastromyzon psiloetron","Gastromyzon","psiloetron",57871,126,"demersal",NA,8.49,"SL",63157
"2675","Gastromyzon punctulatus","Gastromyzon","punctulatus",57871,126,"benthopelagic",NA,6.5,"SL",5439
"2676","Gastromyzon ridens","Gastromyzon","ridens",2091,126,"benthopelagic",NA,5,"SL",22851
"2677","Gastromyzon russulus","Gastromyzon","russulus",57871,126,"demersal",NA,6.43,"SL",63173
"2678","Gastromyzon scitulus","Gastromyzon","scitulus",57901,126,"demersal",NA,NA,NA,63180
"2679","Gastromyzon spectabilis","Gastromyzon","spectabilis",57871,126,"demersal",NA,5.93,"SL",63172
"2680","Gastromyzon stellatus","Gastromyzon","stellatus",57871,126,"demersal",NA,5.24,"SL",63163
"2681","Gastromyzon umbrus","Gastromyzon","umbrus",57871,126,"demersal",NA,5.07,"SL",63156
"2682","Gastromyzon venustus","Gastromyzon","venustus",56228,126,"demersal",NA,4.94,"SL",62562
"2683","Gastromyzon viriosus","Gastromyzon","viriosus",57871,126,"demersal",NA,5.37,"SL",63174
"2684","Gastromyzon zebrinus","Gastromyzon","zebrinus",57871,126,"demersal",NA,6.08,"SL",63165
"2685","Glaniopsis denudata","Glaniopsis","denudata",7050,126,"demersal",NA,4.38,"SL",22853
"2686","Glaniopsis gossei","Glaniopsis","gossei",7050,126,"demersal",NA,4.7,"SL",22854
"2687","Glaniopsis hanitschi","Glaniopsis","hanitschi",7050,126,"demersal",NA,9.7,"SL",22857
"2688","Glaniopsis multiradiata","Glaniopsis","multiradiata",7050,126,"demersal",NA,6,"SL",22861
"2689","Hemimyzon confluens","Hemimyzon","confluens",36949,126,"demersal",NA,4.65,"SL",57704
"2690","Hemimyzon ecdyonuroides","Hemimyzon","ecdyonuroides",42935,126,"benthopelagic",NA,4.21,"SL",59734
"2691","Hemimyzon formosanus","Hemimyzon","formosanus",30340,126,"demersal",10,10,"SL",17240
"2692","Hemimyzon khonensis","Hemimyzon","khonensis",36949,126,"demersal",NA,5.07,"SL",57705
"2693","Hemimyzon macroptera","Hemimyzon","macroptera",37823,126,"demersal",NA,6.1,"SL",58555
"2694","Hemimyzon megalopseos","Hemimyzon","megalopseos",37823,126,"demersal",NA,6.1,"SL",58556
"2695","Hemimyzon nanensis","Hemimyzon","nanensis",30340,126,"demersal",NA,5.66,"SL",52709
"2696","Hemimyzon papilio","Hemimyzon","papilio",43281,126,"benthopelagic",NA,5.92,"SL",50377
"2697","Hemimyzon pengi","Hemimyzon","pengi",43281,126,"benthopelagic",NA,5.9,"SL",57995
"2698","Hemimyzon pumilicorpora","Hemimyzon","pumilicorpora",44392,126,"benthopelagic",NA,5.7,"SL",59917
"2699","Hemimyzon sheni","Hemimyzon","sheni",80631,126,"benthopelagic",NA,5.01,"SL",64895
"2700","Hemimyzon songamensis","Hemimyzon","songamensis",84796,126,"demersal",NA,NA,NA,65722
"2701","Hemimyzon taitungensis","Hemimyzon","taitungensis",5193,126,"demersal",10,10,"TL",17241
"2702","Hemimyzon yaotanensis","Hemimyzon","yaotanensis",37823,126,"demersal",NA,8.4,"SL",58558
"2703","Homaloptera batek","Homaloptera","batek",81925,126,"demersal",NA,9.86,"SL",65033
"2704","Homaloptera bilineata","Homaloptera","bilineata",4832,126,"demersal",NA,10,"NG",24511
"2705","Homaloptera confuzona","Homaloptera","confuzona",43281,126,"demersal",NA,6.8,"SL",57706
"2706","Homaloptera gymnogaster","Homaloptera","gymnogaster",7050,126,"demersal",NA,7.5,"TL",22862
"2707","Homaloptera heterolepis","Homaloptera","heterolepis",7050,126,"demersal",NA,8,"TL",22864
"2708","Homaloptera indochinensis","Homaloptera","indochinensis",12693,126,"demersal",NA,4,"TL",26824
"2709","Homaloptera leonardi","Homaloptera","leonardi",12693,126,"demersal",NA,6.5,"SL",26825
"2710","Homaloptera manipurensis","Homaloptera","manipurensis",44442,126,"benthopelagic",NA,6.15,"SL",59928
"2711","Homaloptera maxinae","Homaloptera","maxinae",12693,126,"demersal",NA,5,"TL",26826
"2712","Homaloptera menoni","Homaloptera","menoni",31807,126,"demersal",NA,NA,NA,54325
"2713","Homaloptera modesta","Homalopteroides","modestus",92804,126,"demersal",NA,2.1,"SL",24512
"2714","Homaloptera montana","Homaloptera","montana",41236,126,"demersal",NA,7.3,"SL",24513
"2715","Homaloptera nebulosa","Homaloptera","nebulosa",7050,126,"demersal",NA,3.6,"SL",22865
"2716","Homaloptera ocellata","Homaloptera","ocellata",7050,126,"demersal",NA,14.5,"TL",22868
"2717","Homaloptera ogilviei","Homaloptera","ogilviei",2091,126,"demersal",NA,5,"SL",22875
"2718","Homaloptera ophiolepis","Homaloptera","ophiolepis",2091,126,"demersal",NA,11.1,"SL",22876
"2719","Homaloptera orthogoniata","Homaloptera","orthogoniata",7050,126,"demersal",NA,13,"SL",22877
"2720","Homaloptera parclitella","Homaloptera","parclitella",55107,126,"benthopelagic",NA,10.02,"SL",62218
"2721","Homaloptera pillaii","Homaloptera","pillaii",41236,126,"demersal",NA,7.5,"SL",54334
"2722","Homaloptera ripleyi","Homaloptera","ripleyi",7050,126,"demersal",NA,5.1,"TL",22878
"2723","Homaloptera rupicola","Homaloptera","rupicola",4832,126,"demersal",NA,2.5,"SL",24514
"2724","Homaloptera santhamparaiensis","Homaloptera","santhamparaiensis",47923,126,"demersal",NA,6.1,"SL",61645
"2725","Homaloptera sexmaculata","Homaloptera","sexmaculata",12041,126,"demersal",NA,NA,NA,26876
"2726","Homaloptera silasi","Homaloptera","silasi",88142,126,"demersal",NA,NA,NA,66323
"2727","Homaloptera smithi","Homaloptera","smithi",12693,126,"demersal",NA,6,"SL",26829
"2728","Homaloptera stephensoni","Homaloptera","stephensoni",2091,126,"demersal",NA,6.5,"SL",22881
"2729","Homaloptera tatereganii","Homaloptera","tatereganii",81925,126,"demersal",NA,8.5,"TL",22883
"2730","Homaloptera tweediei","Homaloptera","tweediei",7050,126,"demersal",NA,4,"SL",22963
"2731","Homaloptera vanderbilti","Homaloptera","vanderbilti",7050,126,"demersal",NA,10.5,"TL",22964
"2732","Homaloptera vulgaris","Homaloptera","vulgaris",34782,126,"demersal",NA,4.97,"SL",56802
"2733","Homaloptera wassinkii","Homaloptera","wassinkii",7050,126,"demersal",NA,6.5,"TL",22965
"2734","Homaloptera weberi","Homaloptera","weberi",7050,126,"demersal",NA,4.9,"SL",22966
"2735","Homaloptera yunnanensis","Homaloptera","yunnanensis",27732,126,"demersal",NA,5.8,"SL",50810
"2736","Homaloptera yuwonoi","Homaloptera","yuwonoi",33004,126,"demersal",NA,4.38,"SL",54571
"2737","Homaloptera zollingeri","Homaloptera","zollingeri",2091,126,"demersal",NA,10,"TL",22967
"2738","Hypergastromyzon eubranchus","Hypergastromyzon","eubranchus",7050,126,"demersal",NA,3.6,"SL",22968
"2739","Hypergastromyzon humilis","Hypergastromyzon","humilis",2091,126,"demersal",NA,3.8,"SL",22971
"2740","Jinshaia abbreviata","Jinshaia","abbreviata",45625,126,"demersal",NA,NA,NA,58524
"2741","Jinshaia niulanjiangensis","Jinshaia","niulanjiangensis",86999,126,"demersal",NA,6.2,"OT",66438
"2742","Jinshaia sinensis","Jinshaia","sinensis",45625,126,"demersal",NA,14,"TL",55403
"2743","Katibasia insidiosa","Katibasia","insidiosa",54043,126,"demersal",NA,3.42,"SL",62110
"2744","Lepturichthys dolichopterus","Lepturichthys","dolichopterus",37823,126,"demersal",NA,NA,NA,58520
"2745","Lepturichthys fimbriata","Lepturichthys","fimbriata",45625,126,"demersal",NA,12.6,"SL",58518
"2746","Liniparhomaloptera disparis","Liniparhomaloptera","disparis",92804,126,"demersal",NA,8,"TL",55009
"2747","Liniparhomaloptera monoloba","Liniparhomaloptera","monoloba",44416,126,"demersal",NA,NA,NA,61369
"2748","Liniparhomaloptera obtusirostris","Liniparhomaloptera","obtusirostris",33406,126,"demersal",NA,6.95,"SL",55013
"2749","Liniparhomaloptera qiongzhongensis","Liniparhomaloptera","qiongzhongensis",92804,126,"demersal",NA,6.7,"SL",55011
"2750","Metahomaloptera longicauda","Metahomaloptera","longicauda",58759,126,"demersal",NA,4.35,"SL",63497
"2751","Metahomaloptera omeiensis","Metahomaloptera","omeiensis",33508,126,"demersal",NA,NA,NA,55408
"2752","Neogastromyzon brunei","Neogastromyzon","brunei",57871,126,"demersal",NA,4.1,"SL",63179
"2753","Neogastromyzon chini","Neogastromyzon","chini",57871,126,"demersal",NA,4.5,"SL",63177
"2754","Neogastromyzon crassiobex","Neogastromyzon","crassiobex",57871,126,"demersal",NA,4.87,"SL",63176
"2755","Neogastromyzon kottelati","Neogastromyzon","kottelati",57871,126,"demersal",NA,3.53,"SL",63178
"2756","Neogastromyzon nieuwenhuisii","Neogastromyzon","nieuwenhuisii",7050,126,"demersal",NA,5,"SL",22984
"2757","Neogastromyzon pauciradiatus","Neogastromyzon","pauciradiatus",7050,126,"demersal",NA,6.2,"SL",22987
"2758","Neohomaloptera johorensis","Neohomaloptera","johorensis",7050,126,"demersal",NA,2,"SL",22988
"2759","Paraprotomyzon bamaensis","Paraprotomyzon","bamaensis",45625,126,"demersal",NA,5.5,"SL",60478
"2760","Paraprotomyzon lungkowensis","Paraprotomyzon","lungkowensis",45625,126,"demersal",NA,6.2,"SL",60489
"2761","Paraprotomyzon multifasciatus","Paraprotomyzon","multifasciatus",27116,126,"benthopelagic",NA,6.1,"SL",54779
"2762","Paraprotomyzon niulanjiangensis","Paraprotomyzon","niulanjiangensis",57462,126,"demersal",NA,4.1,"SL",62846
"2763","Paraprotomyzon yunnanensis","Paraprotomyzon","yunnanensis",86999,126,"demersal",NA,5.6,"OT",66436
"2764","Parasewellia monolobata","Parasewellia","monolobata",84796,126,"demersal",NA,NA,NA,65702
"2765","Parasewellia polylobata","Parasewellia","polylobata",84796,126,"demersal",NA,NA,NA,65719
"2766","Parasewellia tetralobata","Parasewellia","tetralobata",84796,126,"demersal",NA,NA,NA,65730
"2767","Parhomaloptera microstoma","Parhomaloptera","microstoma",7050,126,"demersal",NA,8.8,"TL",22989
"2768","Plesiomyzon baotingensis","Plesiomyzon","baotingensis",33406,126,"demersal",NA,3.8,"SL",55007
"2769","Protomyzon aphelocheilus","Protomyzon","aphelocheilus",7050,126,"demersal",NA,4.2,"SL",22990
"2770","Protomyzon borneensis","Protomyzon","borneensis",7050,126,"demersal",NA,5.4,"SL",22991
"2771","Protomyzon griswoldi","Protomyzon","griswoldi",7050,126,"demersal",NA,6.8,"SL",22995
"2772","Protomyzon whiteheadi","Protomyzon","whiteheadi",7050,126,"demersal",NA,5,"SL",22996
"2773","Pseudogastromyzon buas","Pseudogastromyzon","buas",44416,126,"demersal",NA,NA,NA,60804
"2774","Pseudogastromyzon changtingensis changtingensis","Pseudogastromyzon","changtingensis changtingensis",27116,126,"benthopelagic",NA,4.9,"SL",55026
"2775","Pseudogastromyzon changtingensis tungpeiensis","Pseudogastromyzon","changtingensis tungpeiensis",33406,126,"benthopelagic",NA,6.2,"SL",55027
"2776","Pseudogastromyzon cheni","Pseudogastromyzon","cheni",2060,126,"benthopelagic",NA,5,"TL",55707
"2777","Pseudogastromyzon daon","Pseudogastromyzon","daon",44416,126,"demersal",NA,3.2,"SL",60802
"2778","Pseudogastromyzon elongatus","Pseudogastromyzon","elongatus",44416,126,"demersal",NA,NA,NA,61371
"2779","Pseudogastromyzon fangi","Pseudogastromyzon","fangi",33406,126,"benthopelagic",NA,10,"TL",55024
"2780","Pseudogastromyzon fasciatus","Pseudogastromyzon","fasciatus",45625,126,"demersal",NA,8.2,"SL",60900
"2781","Pseudogastromyzon laticeps","Pseudogastromyzon","laticeps",33406,126,"benthopelagic",NA,6.7,"SL",55030
"2782","Pseudogastromyzon lianjiangensis","Pseudogastromyzon","lianjiangensis",33406,126,"benthopelagic",NA,6.85,"SL",55028
"2783","Pseudogastromyzon loos","Pseudogastromyzon","loos",44416,126,"demersal",NA,NA,NA,61372
"2784","Pseudogastromyzon meihuashanensis","Pseudogastromyzon","meihuashanensis",31517,126,"demersal",NA,NA,NA,60611
"2785","Pseudogastromyzon myersi","Pseudogastromyzon","myersi",33406,126,"benthopelagic",NA,6,"TL",7757
"2786","Pseudogastromyzon peristictus","Pseudogastromyzon","peristictus",33406,126,"benthopelagic",NA,5.1,"SL",55025
"2787","Sewellia albisuera","Sewellia","albisuera",51729,126,"demersal",NA,6.4,"SL",61685
"2788","Sewellia analis","Sewellia","analis",84796,126,"demersal",NA,NA,NA,65666
"2789","Sewellia breviventralis","Sewellia","breviventralis",40433,126,"demersal",NA,5.07,"SL",58402
"2790","Sewellia diardi","Sewellia","diardi",38650,126,"demersal",NA,7.18,"SL",58060
"2791","Sewellia elongata","Sewellia","elongata",38650,126,"demersal",NA,7.3,"SL",58061
"2792","Sewellia lineolata","Sewellia","lineolata",40433,126,"demersal",NA,5.66,"SL",26831
"2793","Sewellia marmorata","Sewellia","marmorata",40433,126,"demersal",NA,5.89,"SL",56163
"2794","Sewellia medius","Sewellia","medius",84796,126,"demersal",NA,NA,NA,65698
"2795","Sewellia patella","Sewellia","patella",40433,126,"demersal",NA,4.82,"SL",58403
"2796","Sewellia pterolineata","Sewellia","pterolineata",40433,126,"demersal",NA,4.41,"SL",58058
