species,Benthic macroalgae,Benthic microalgae,Bony fishes,Detritus,Ectoparasites,Hard corals,Insects,Mobile benthic crustacea (shrimps/crabs),Mobile benthic gastropods/bivalves,Mobile benthic worms,Octopus/squid/cuttlefish,Pelagic crustacea,Pelagic fish eggs,Pelagic fish larvae,Pelagic jellyfish/ctenophores,Phytoplankton,Sea snakes/mammals/turtles/birds,Sea-stars/cucumbers/urchins,Sessile crustacea,Sessile molluscs,Sessile worms,Sharks/rays,Soft corals/hydroids,Sponges/seasquirts/bryozoa,Terrestrial plants,Zooplankton
Bothus robinsi,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,
Chascanopsetta danae,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Chascanopsetta lugubris,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Engyophrys senta,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Monolene atrimana,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Monolene megalepis,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Monolene sessilicauda,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Trichopsetta caribbaea,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Trichopsetta melasma,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Trichopsetta orbisulcus,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Trichopsetta ventralis,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Bramidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Brama brama,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Brama caribbea,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Brama dussumieri,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Eumegistus brevorti,,,x,,,,,,,,x,,,,,,,,,,,,,,,
Pteraclis carolinus,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Pterycombus brama,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Taractes rubescens,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Taractichthys longipinnis,,,x,,,,,,,,x,,,,,,,,,,,,,,,
Bregmacerotidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Bregmaceros atlanticus,,,,,,,,,,,,,,,,x,,,,,,,,,,x
Bregmaceros cantori,,,,,,,,,,,,,,,,x,,,,,,,,,,x
Bregmaceros houdei,,,,,,,,,,,,,,,,x,,,,,,,,,,x
Bythitidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamopteryx goslinei,,,,,,,,x,,,,,,,,,,,,,,,,,,
Calamopteryx robinsorum,,,,,,,,x,,,,,,,,,,,,,,,,,,
Grammonus claudei,,,,,,,,x,,,,,,,,,,,,,,,,,,
