species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Pseudophichthys splendens,x,,,,
Rhynchoconger flavus,x,,,,
Rhynchoconger gracilior,x,,,,
Rhynchoconger guppyi,x,,,,
Uroconger syringinus,x,,,,
Coryphaenidae,,,,,
Coryphaena equiselis,,x,,x,x
Coryphaena hippurus,,x,,x,x
Crurirajidae,,,,,
Cruriraja atlantis,x,,,,
Cruriraja cadenati,x,,,,
Cruriraja poeyi,x,,,,
Cruriraja rugosa,x,,,,
Cynoglossidae,,,,,
Symphurus arawak,x,,,,
Symphurus billykrietei,x,,,,
Symphurus caribbeanus,x,,,,
Symphurus civitatium,x,,,,
Symphurus diomedeanus,x,,,,
Symphurus hernandezi,x,,,,
Symphurus marginatus,x,,,,
Symphurus minor,x,,,,
Symphurus nebulosus,x,,,,
Symphurus oculellus,x,,,,
Symphurus ommaspilus,x,,,,
Symphurus parvus,x,,,,
Symphurus pelicanus,x,,,,
Symphurus piger,x,,,,
Symphurus plagiusa,x,,,,
Symphurus plagusia,x,,,,
Symphurus pusillus,x,,,,
Symphurus rhytisma,x,,,,
Symphurus stigmosus,x,,,,
Symphurus tessellatus,x,,,,
Symphurus urospilus,x,,,,
Cynolebiidae,,,,,
Rivulus garciai,x,,,,
Rivulus hartii,x,,,,
Rivulus marmoratus,x,,,,
Cyprinodontidae,,,,,
Cubanichthys cubensis,x,,,,
Cyprinodon artifrons,x,,,,
Cyprinodon dearborni,x,,,,
Cyprinodon laciniatus,x,,,,
Cyprinodon variegatus,x,,,,
Floridichthys carpio,x,,,,
Floridichthys polyommus,x,,,,
Jordanella floridae,x,,,,
Jordanella pulchra,x,,,,
Dactylopteridae,,,,,
Dactylopterus volitans,x,,,,
Dactyloscopidae,,,,,
Dactylagnus peratikos,x,,,,
Dactyloscopus boehlkei,x,,,,
Dactyloscopus comptus,x,,,,
Dactyloscopus crossotus,x,,,,
Dactyloscopus foraminosus,x,,,,
Dactyloscopus moorei,x,,,,
Dactyloscopus poeyi,x,,,,
Dactyloscopus tridigitatus,x,,,,
Gillellus greyae,x,,,,
Gillellus healae,x,,,,
Gillellus inescatus,x,,,,
Gillellus jacksoni,x,,,,
Gillellus uranidea,x,,,,
Leurochilus acon,x,,,,
Myxodagnus belone,x,,,,
Platygillellus rubrocinctus,x,,,,
Platygillellus smithi,x,,,,
Dalatiidae,,,,,
Dalatias licha,x,,x,,
Isistius brasiliensis,,x,,x,
Isistius plutodus,,x,x,x,
Mollisquama species A,,x,,,
Squaliolus laticaudus,,x,x,,
Dasyatidae,,,,,
Bathytoshia centroura,x,,,,
Fontitrygon geijskesi,x,,,,
Hypanus americanus,x,,,,
