name,meters,location
Pronotogrammus martinicensis,145,Bonaire
Scorpaenodes barrybrowni,145,Bonaire
Serranus phoebe,145,Bonaire
Serranus phoebe,145,Bonaire
Decodon shallow,144,Bonaire
Decodon shallow,144,Bonaire
Decodon shallow,144,Bonaire
Equetus lanceolatus,144,Bonaire
Pontinus castor,144,Bonaire
Pontinus castor,144,Bonaire
Pronotogrammus martinicensis,144,Bonaire
Pronotogrammus martinicensis,144,Bonaire
Rypticus saponaceous,144,Bonaire
Serranus notospilus,144,Bonaire
Serranus notospilus,144,Bonaire
Serranus notospilus,144,Bonaire
Serranus phoebe,144,Bonaire
Serranus phoebe,144,Bonaire
Decodon shallow,143,Bonaire
Decodon shallow,143,Bonaire
Liopropoma olneyi,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Pronotogrammus martinicensis,143,Bonaire
Serranus phoebe,143,Bonaire
Serranus phoebe,143,Bonaire
Gymnothorax ocellatus,142,Bonaire
Lipogramma evides,142,Bonaire
Liopropoma olneyi,142,Bonaire
Prognathodes guyanensis,142,Bonaire
Prognathodes guyanensis,142,Bonaire
Pronotogrammus martinicensis,142,Bonaire
Serranus notospilus,142,Bonaire
Serranus notospilus,142,Bonaire
Serranus phoebe,142,Bonaire
Serranus phoebe,142,Bonaire
Chromis enchrysura,141,Bonaire
Liopropoma olneyi,141,Bonaire
Prognathodes guyanensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Pronotogrammus martinicensis,141,Bonaire
Serranus notospilus,141,Bonaire
Serranus phoebe,141,Bonaire
Antilligobius nikkiae,140,Bonaire
Haemulon chrysargyreum,140,Bonaire
Haemulon chrysargyreum,140,Bonaire
Liopropoma olneyi,140,Bonaire
Pristigenys alta,140,Bonaire
Pristigenys alta,140,Bonaire
Pronotogrammus martinicensis,140,Bonaire
Psilotris laurae,140,Bonaire
Serranus notospilus,140,Bonaire
Serranus notospilus,140,Bonaire
Serranus notospilus,140,Bonaire
Serranus phoebe,140,Bonaire
Varicus decorum,140,Bonaire
Caulolatilus plumieri,139,Bonaire
Chromis enchrysura,139,Bonaire
Chromis enchrysura,139,Bonaire
Liopropoma olneyi,139,Bonaire
Prognathodes aculeatus,139,Bonaire
Pronotogrammus martinicensis,139,Bonaire
Pronotogrammus martinicensis,139,Bonaire
Pronotogrammus martinicensis,139,Bonaire
Pronotogrammus martinicensis,139,Bonaire
Pronotogrammus martinicensis,139,Bonaire
Serranus phoebe,139,Bonaire
Choranthias tenuis,138,Bonaire
Decodon shallow,138,Bonaire
Pronotogrammus martinicensis,138,Bonaire
Pronotogrammus martinicensis,138,Bonaire
Pronotogrammus martinicensis,138,Bonaire
Pronotogrammus martinicensis,138,Bonaire
Pronotogrammus martinicensis,138,Bonaire
Pronotogrammus martinicensis,138,Bonaire
Serranus phoebe,138,Bonaire
Serranus phoebe,138,Bonaire
Serranus phoebe,138,Bonaire
Gymnothorax ocellatus,137,Bonaire
Liopropoma olneyi,137,Bonaire
Liopropoma olneyi,137,Bonaire
Liopropoma olneyi,137,Bonaire
Pronotogrammus martinicensis,137,Bonaire
Pronotogrammus martinicensis,137,Bonaire
Pronotogrammus martinicensis,137,Bonaire
Serranus notospilus,137,Bonaire
Serranus notospilus,137,Bonaire
Serranus phoebe,137,Bonaire
Serranus phoebe,137,Bonaire
Serranus phoebe,137,Bonaire
Serranus phoebe,137,Bonaire
Caulolatilus dooleyi,136,Bonaire
Chromis enchrysura,136,Bonaire
Lipogramma levinsoni,136,Bonaire
Pronotogrammus martinicensis,136,Bonaire
Serranus phoebe,136,Bonaire
Varicus cephalocellatus,136,Bonaire
Varicus cephalocellatus,136,Bonaire
Chromis enchrysura,135,Bonaire
Chromis enchrysura,135,Bonaire
Pronotogrammus martinicensis,135,Bonaire
Pronotogrammus martinicensis,135,Bonaire
Pronotogrammus martinicensis,135,Bonaire
Pronotogrammus martinicensis,135,Bonaire
Pronotogrammus martinicensis,135,Bonaire
Pronotogrammus martinicensis,135,Bonaire
Serranus phoebe,135,Bonaire
Apogon pseudomaculatus,134,Bonaire
Apogon pseudomaculatus,134,Bonaire
Choranthias tenuis,134,Bonaire
Choranthias tenuis,134,Bonaire
Choranthias tenuis,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Chromis enchrysura,134,Bonaire
Equetus lanceolatus,134,Bonaire
Equetus lanceolatus,134,Bonaire
Lipogramma levinsoni,134,Bonaire
Lipogramma levinsoni,134,Bonaire
Lipogramma levinsoni,134,Bonaire
Paroncheilus affinis,134,Bonaire
Pronotogrammus martinicensis,134,Bonaire
Serranus notospilus,134,Bonaire
Serranus phoebe,134,Bonaire
Serranus phoebe,134,Bonaire
Serranus phoebe,134,Bonaire
Serranus phoebe,134,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Antilligobius nikkiae,133,Bonaire
Corniger spinosus,133,Bonaire
Corniger spinosus,133,Bonaire
Decodon shallow,133,Bonaire
Lipogramma levinsoni,133,Bonaire
Lipogramma levinsoni,133,Bonaire
Lipogramma levinsoni,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Pronotogrammus martinicensis,133,Bonaire
Serranus phoebe,133,Bonaire
Serranus phoebe,133,Bonaire
Serranus phoebe,133,Bonaire
Serranus phoebe,133,Bonaire
Serranus phoebe,133,Bonaire
Serranus phoebe,133,Bonaire
Serranus phoebe,133,Bonaire
Apogon pseudomaculatus,132,Bonaire
Chromis enchrysura,132,Bonaire
Corniger spinosus,132,Bonaire
Equetus lanceolatus,132,Bonaire
Lipogramma levinsoni,132,Bonaire
Lipogramma levinsoni,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Pronotogrammus martinicensis,132,Bonaire
Serranus notospilus,132,Bonaire
Serranus phoebe,132,Bonaire
Serranus phoebe,132,Bonaire
